Reference codial;Fournisseur;Machine;Marque;Materiel;Reference;Denomination;Debut;Entrees;Sorties;StockFin;Minimum
15AU0011;FRANKE;;ANSUL;;719.389.836;Barrette Rouge ANSUL;;;;;
17AV0036;FRANKE;;;;719.386.441;Pied Caoutchouc Par 4;;;;;
01AB0098;REFLEX SERVICE;;TAYLOR;;20037954-27;Electrovanne glycol;;;;;
02AB0059;REFLEX SERVICE;;TAYLOR;;20X79603-L;Faisceau rabat gauche grill 34;;;;;
10AI0013;FRANKE;;FRANKE;;BLO.334.70;relais 25A;;;;;
14AK0090;ENODIS;;;;8101202;Contacteur 40 A 3 poles;;;;;
17AV0122;FRANKE;;;;719.392.785;Câble bas de toaster REMPLACE LA  REF PC2.480.80S;;;;;
01AB0009;REFLEX SERVICE;;TAYLOR;;20X47323;Filtre glycol;;;;;
01AB0015;REFLEX SERVICE;;TAYLOR;;20077841-K;Thermocouple K type SS braid (sonde rabat);;;;;
01AB0277;REFLEX SERVICE;;TAYLOR;;20045293;Fusible 15 A;;;;;
02AB0034;REFLEX SERVICE;;TAYLOR;;20X83114-3;Kit certification grill 844;;;;;
02AB0058;REFLEX SERVICE;;TAYLOR;;20X79603-R;Faisceau rabat droit grill 34;;;;;
02AB0075;REFLEX;;;;20X78330-SER;Kit shield ( 2 par rabat );;;;;
02AB0086;REFLEX SERVICE;;TAYLOR;;20052111-76;Relais maintien rabat;;;;;
02AB0088;;;TAYLOR;;20079826-02;Relais triac;;;;;
02AB0097;REFLEX SERVICE;;TAYLOR;;20063944-C;Pressostat d'air;;;;;
02AB0115;REFLEX SERVICE;;TAYLOR;;20078721;Klixon de sécurité ou hight limit;;;;;
02AB0188;;;TAYLOR;;20076013;BLOC CONTACT;;;;;
02AB0263;REFLEX SERVICE;;TAYLOR;;20X83114-2;Kit certification grill 834;;;;;
04AG0062;WINTERHALTER;;;;30000234;Résistance chauffante 6kw avec fusible ANC REF 3103150 (Nle  30008044;;;;;
05AI0024;FRANKE;;FRANKE;;19003762;Alimentation F3DN ou transformateur 24v;;;;;
05AI0036;FRANKE;;;;190.002.12;Boulon 1/4 x 1 1/2;;;;;
05AI0038;FRANKE;;;;19000214;Spacer 1/2;;;;;
09AI0002;FRANKE;;;;725.120.457;Douille Poste Salage  (en porcelaine) anc ref 725.113.458 AAA;;;;;
10AI0002;FRANKE;;;;384.268;Ventilateur bin;;;;;
14AK0034;ENODIS;;;;8261526;Sonde de régulation (anc ref 8072478) sur résistance NM;;;;;
14AK0035;ENODIS;;;;8064206;Sonde de température;;;;;
14AK0055;ENODIS;;;;8262200;Résistance 8500W Re;;;;;
14AK0064;ENODIS;;;;8262256;Carte Interface avec relais soudés (noire) NM remplace ref 1066688;;;;;
14AT0003;FRANKE;;HENNY PENNY;;HP29509;Contacteur E/M LVE (principal);;;;;
14AT0015;FRANKE;;;;HP77523;Tube évacuation alu pour cuve ou flexible inox REMPLACE PAR REF 780.005.028;;;;;
14AT0024;FRANKE;;HENNY PENNY;;HP84415;Joint O ring pour série LVE 20;;;;;
14AT0044;FRANKE;;;;HP77288;Tuyau + Raccord femelle rapide JIB;;;;;
15AU0029;FRANKE;;ANSUL;;384.376;Cartouche nitrogène;;;;;
17AV0035;FRANKE;;;;719.386.038;Relais SS;;;;;
01AB0010;REFLEX SERVICE;;TAYLOR;;20X39667-4;Bidon de glycol au litres ( 3.78);;;;;
340008;FRITEC;;;;845503;Fréon R404A;;;;;
330016;CEF;;;;277731;Contacteur 230V Dilmc 32 - 01;;;;;
330025;FRANKE;;;;385.412;Prise femelle septapolaire P17 32A 5P+N+T rouge;;;;;
330056;FRANKE;;TAYLOR;;719.388.025;Prise 7 pôles mâles sur grill 5P+N+T rouge IP 44;;;;;
340025;FRITEC;;DIVERS FROID;;893117;Vanne Shrader 1/4 à visser intervention rapide;;;;;
340094;FRITEC;;DANFOSS;;622402;Régulateur ERC211 anc désignation Régulateur EKC 102A ancienne ref 622401;;;;;
01AB0007;REFLEX SERVICE;;TAYLOR;;20063922-SER;Carte imprimé sundae ou viscosité anc ref 20X46904-SER;;;;;
01AB0013;REFLEX SERVICE;;;;20X55820;"Piston de soutirage ""soft"" - Piston de porte Sundae";;;;;
01AB0020;REFLEX SERVICE;;TAYLOR;;20066794-33H;Discontacteur (contact+reset) pour sundae  ou reset;;;;;
01AB0024;REFLEX SERVICE;;TAYLOR;;20012864;Bague de blocage REMPLACE dans kit  REF 01AB0394;;;;;
01AB0031;REFLEX;;;;20079473;Ressort  ( clam);;;;;
01AB0035;REFLEX SERVICE;;TAYLOR;;20X54722-GLD;Accouplement shake;;;;;
01AB0036;REFLEX SERVICE;;TAYLOR;;20X44951;Sensor de viscosité;;;;;
01AB0102;REFLEX SERVICE;;TAYLOR;;20066794-33G;Bloc reset shake;;;;;
01AB0108;REFLEX SERVICE;;TAYLOR;;20X51661;Plot agitateur sundae;;;;;
01AB0110;REFLEX SERVICE;;TAYLOR;;20036210;Poulie sur plot agitateur;;;;;
01AB0111;REFLEX;;;;20042063;Poulie agitateur moteur;;;;;
01AB0134;REFLEX SERVICE;;TAYLOR;;20012721;Accouplement soft;;;;;
01AB0140;REFLEX SERVICE;;TAYLOR;;20016403;Petite poulie moteur batteur sundae;;;;;
01AB0144;REFLEX SERVICE;;TAYLOR;;20048901;Déshydrateur;;;;;
01AB0150;;;;;20039470-BLK;Sonde probe glycol C602;;;;;
01AB0169;REFLEX SERVICE;;TAYLOR;;20056530;Platine de contrôle vitesse moteur sirop;;;;;
01AB0335;REFLEX SERVICE;;TAYLOR;;20063920-SER;Carte interface vierge;;;;;
01AB0349;REFLEX;;TAYLOR;;20045717;Poulie petite pour agitateur;;;;;
01AB0362;REFLEX SERVICE;;TAYLOR;;20X51564;Plot agitateur courte shake;;;;;
01AB0367;REFLEX SERVICE;;TAYLOR;;20X82397-SER;"Sonde cylindre longue anc ref 20038061-BLK
";;;;;
01AB0370;REFLEX SERVICE;;TAYLOR;;20063924-SER;Carte sensor;;;;;
01AB0387;REFLEX SERVICE;;TAYLOR;;20063923-SER;"Connecteur-Platine viscosité shake anc ref 20X59072-SER
";;;;;
01AB0394;REFLEX SERVICE;;TAYLOR;;20X31324-SER;"Kit palliers complet comprenant: 1 pallier;1 rondelle blocage pallier;1 guide goutte plastique, 1 écrou laiton";;;;;
01AB0402;REFLEX SERVICE;;TAYLOR;;20X56253;Bras de levier;;;;;
01AB0403;REFLEX SERVICE;;TAYLOR;;20041661;Ressort de retenue droit;;;;;
01AB0404;REFLEX SERVICE;;TAYLOR;;20041660;Ressort de retenue gauche;;;;;
02AB0001;REFLEX SERVICE;;TAYLOR;;20076011;Bouton Raise;;;;;
02AB0031;REFLEX SERVICE;;TAYLOR;;20X79775-SER;Carte de puissance 34 avec Eprom  ;;;;;
02AB0032;REFLEX SERVICE;;TAYLOR;;20074210-02;Relais Triac 240V (Sans alar);;;;;
02AB0033;REFLEX SERVICE;;TAYLOR;;20073998;Moteur rabat grill 844 et grill 834 et grill C 842;;;;;
02AB0040;REFLEX SERVICE;;TAYLOR;;20X74232-SER;Bloc adujst gauche - avant / droit arrière;;;;;
02AB0041;REFLEX SERVICE;;TAYLOR;;20X74233-SER;Bloc adjust droit - avant / gauche - arrière;;;;;
02AB0043;REFLEX SERVICE;;TAYLOR;;20X79250-SER;Carte relais sonde grill 34;;;;;
02AB0053;REFLEX SERVICE;;TAYLOR;;20076989-WP;Interrupteur grill ON/OFF;;;;;
02AB0060;REFLEX SERVICE;;TAYLOR;;20X74514-7;Kit certif grill 3475;;;;;
02AB0064;REFLEX SERVICE;;TAYLOR;;20X72436-SER;Carte électronique interface C834 ET 844;;;;;
02AB0067;REFLEX SERVICE;;TAYLOR;;20075503-02;Electrovanne grill 34;;;;;
02AB0068;REFLEX SERVICE;;TAYLOR;;20079818BSER;Moteur rabat / réducteur grill 34;;;;;
02AB0084;REFLEX SERVICE;;TAYLOR;;20077339;"Connection en laiton ""T""";;;;;
02AB0094;REFLEX SERVICE;;TAYLOR;;20029830;Régulateur air;;;;;
02AB0101;;;TAYLOR;;200726951;Electrovanne air;;;;;
02AB0106;REFLEX SERVICE;;TAYLOR;;20075723;Soupape de sécurité ou valve de 70psi;;;;;
02AB0110;REFLEX SERVICE;;TAYLOR;;20076012;Bouton standby;;;;;
02AB0116;REFLEX SERVICE;;TAYLOR;;20079442;Home switch moteur rabat;;;;;
02AB0123;;;TAYLOR;;20079837040;FUSIBLE 4 A;;;;;
02AB0132;REFLEX SERVICE;;TAYLOR;;20X72701-SER;Carte relais moteur C844;;;;;
02AB0152;REFLEX SERVICE;;TAYLOR;;20074396;Ressort de grill;;;;;
02AB0184;REFLEX SERVICE;;TAYLOR;;20079160;Vérin;;;;;
02AB0213;REFLEX SERVICE;;TAYLOR;;20079777;Fourche verin;;;;;
02AB0232;REFLEX SERVICE;;TAYLOR;;20072454;Moteur rabat grill C844 remplace par REF 20073998;;;;;
02AB0401;REFLEX SERVICE;;TAYLOR;;20079774-641;Eprom V6.41 avec support;;;;;
02AB0430;REFLEX SERVICE;;TAYLOR;;20072695-4;Valve pressure relief 70 PSI;;;;;
04AG0050;WINTERHALTER;;WINTERHALTER;;3106180;Electrovanne arrivée d eau  surchauffeur sous pression 15 litres/ min;;;;;
04AG0081;WINTERHALTER;;;;30000235;Résistance chauffante 6 kw de bac avec fusible (anc ref 3103176- et 30008051;;;;;
04AH0065;ECOMAX;;HOBART;;E417120;Ecrou en plastique;;;;;
04AH0103;ECOMAX;;;;E926282;Contacteur;;;;;
05AI0025;FRANKE;;FRANKE;;19004441;Moto réducteur F3DN Remplace réf 190.015.25;;;;;
05AI0045;FRANKE;;FRANKE;;19004324;Touche F3D3;;;;;
05AI0070;FRANKE;;FRANKE;;180.032.85;ACCOUPLEMENT;;;;;
07AK0008;ENODIS;;;;8070979;Transformateur Frymaster HLZ;;;;;
08AK0013;ENODIS;;;;8072443;Carte Mère UHC;;;;;
08AK0025;ENODIS;;;;8075508;Carte de distribution UHC ANCIENNE REF/ 8074860;;;;;
08AK0029;ENODIS;;;;8074882;Disjoncteur 16A ou Clickson pour UHCHD6TP;;;;;
08AK0032;ENODIS;;;;8072460;Transformateur UHC;;;;;
08AK0038;ENODIS;;FRYMASTER;;8075382;Platine relais UHCHD ( remplace ref 8263036);;;;;
09AL0003;H&K;;H&K;;806226;Douille porcelaine;;;;;
13BO;FRANKE;;FRANKE;;725.118.114;Thermostat Evco;;;;;
13BO0002;FRANKE;;FRANKE;;725.114.966;Thermostat EVCO EVKB21 230 V;;;;;
14AK0011;ENODIS;;;;8262260;Carte interface  NM pour friteuse RE;;;;;
14AK0013;FRANKE;;;;719.386.676;Micro inter friteuse;;;;;
14AK0026;FRANKE;;;;719.388.495;Transformateur Hlz 230 Volts 12V;;;;;
14AK0032;ENODIS;;;;8072180;Transformateur 230/24V;;;;;
14AK0069;ENODIS;;FRYMASTER;;8262153;Résistance 8500W AM Remplace ref 8072643;;;;;
14AK0080;ENODIS;;;;8261183;Kit de levée ou support ressort résistance;;;;;
14AK0115;ENODIS;;;;8101423;Flexible huile;;;;;
14AK0150;ENODIS;;FRYMASTER;;8262741;Contact mercure/Micro Interrupteur Pour Résistance;;;;;
14AT0004;FRANKE;;HENNY PENNY;;HP140061;Transformateur LVE 24 v;;;;;
14AT0025;FRANKE;;HENNY PENNY;;HP86105;Soupape valve;;;;;
14AT0070;FRANKE;;HENNY PENNY;;719.392.746;Thermostat H Limit LVE ANCIENNE REF HP77285 NEU;;;;;
14AT0082;FRANKE;;HENNY PENNY;;719.394.277;Kit thermocouple 96887-LVE-20X ( pour cuve lov);;;;;
14AT0083;FRANKE;;;;HP14974;Sonde, kit de capteur du niveau remplissage P/ LVE ET LVG;;;;;
14AT0102;FRANKE;;HENNY PENNY;;719.395.959;Microswitch pour vanne sélective cuve HENNY PENNY ANCIENNE REF// 719.393.948;;;;;
15AU0026;FRANKE;;ANSUL;;719.388.835;Ansulex;;;;;
15AU0031;FRANKE;;ANSUL;;719.383.520;Porte fusibles;;;;;
17AV0011;FRANKE;;;;719.386.037;Relais 12Vdc  noir;;;;;
17AV0020;FRANKE;;;;719.386.347;Boulon Pour Plaque Devant Set 2 ou vis;;;;;
17AV0024;FRANKE;;ANTUNES;;719.386.499;Boulon Chassis + Écrou pour toaster;;;;;
17AV0033;FRANKE;;;;719.392.786;Câble En Haut ou faisceau anc PC2.480.81S;;;;;
17AV0040;FRANKE;;;;719.384.504;Kit De Butoir OU bloc d'arrêt;;;;;
17AV0044;FRANKE;;;;719.386.352;Ecrou Pack De 7;;;;;
17AV0138;FRANKE;;;;719.384.546;Haut parleur  Toaster ou buzzer;;;;;
17AV0149;FRANKE;;PRINCE CASTLE;;PC2.481.52;Bille inox;;;;;
17AW0028;FRANKE;;;;AN3.08P.115;Vis 8 // 32x3/8  10 mm (pq de 10);;;;;
16AV0046;FRANKE;;;;719.394.798;Tuyau (lot de 10) set de tubes d'eau STEAMER pc 625;;;;;
.;;;;;NULL;Location divers matériels;;;;;
6;REFLEX;;;;;Relais Triac 240V (Sans alar);;;;;
170032;FRANKE;;;;170032;Filtre Alimentation;;;;;
170042;FRANKE;;;;170042;Boulon Pour Plaque Devant Set 2;;;;;
170088;FRANKE;;;;385.416;Câble 3x2.5 HO7RNF;;;;;
170115;FRANKE;;PRINCE CASTLE;;248202S;Bouton REMPLACE REF 719.384.514;;;;;
200000;;;;;200000;Fourniture gainable;;;;;
200001;TCA;;;;ANJ1209-12D;Moteur de bouche anjos 12V ouverture sous tension;;;;;
200002;TCA;;;;;Moteur de bouche Anjos 220V N.F;;;;;
200003;IACA;;;;14301;Satellite cedeco;;;;;
200004;IACA;;;;14303;Clavier;;;;;
200005;TCA;;ANJOS;;1215-24V;MOTEUR THERMIQUE;;;;;
200006;SCODIF;;SCOTSMAN;;CM33580112;CARTE MERE;;;;;
200007;IACA;;;;PFMATE000;SOUDE EXTERIEURE;;;;;
200008;BAURES;;;;200008;Liaison frigorifique 1/4 3/8 20m isolé M1 prix au mètre;;;;;
200009;;;;;200009;Eco participation;;;;;
200010;TCA;;;;ANJ1215;Moteur fermé sous tension;;;;;
200011;TCA;;ANJOS;;ANJ1209;Vérin thermique + fil /registre mot;;;;;
200012;TCA;;ANJOS;;ANJ1225;Registre motorisé ouvert L200 D200;;;;;
200013;FRITEC;;DAIKIN;;451057;Ensemble mural FTXB20C + RXB20C DAIKIN;;;;;
200014;FRITEC;;DAIKIN;;451061;Ensemble mural FTXB25C + RXB25C DAIKIN;;;;;
200015;BAURES;;ATLANTIC;;457371;Ensemble mural ASYG7LLCC ATLANTIC FUJITSU;;;;;
200016;BAURES;;ATLANTIC;;457374;Ensemble mural ASYG9LLCC ATLANTIC FUJITSU;;;;;
200017;;;;;200017;Fourniture clim;;;;;
200018;IACA;;CEDECO;;PFMATEST014303;Terminal clavier ( menu);;;;;
200019;CD SUD;;;;02101-003971;/MAC-3971F-E INTERFACE BORNIER CONTACT SERIE M;;;;;
200020;CD SUD;;;;021011-000032;PAR-32MAA-J COMMANDE A FIL SERIE M ET P;;;;;
200021;IACA;;CEDECO;;200021;THERMOSTAT AMBIANCE CEDECO;;;;;
210002;FRITEC;;CARREL;;628283;Régulateur CAREL Mastercella 2 de chambre froide;;;;;
310191;FRITEC;;DANFOSS;;625011;Pressostat Danfoss KP 15;;;;;
320001;BALITRAND;;;;182.032;Coude équerre 87D DF 40mm CH88;;;;;
320002;BAURES;;;;E40ML;"Raccord ABS diam 40 
";;;;;
320003;BAURES;;;;1467298;Tuyau annelé blanc DIAM 40 3 mètres - flexible GTL 32X40 prix au mètre;;;;;
320004;BAURES;;;;;Té diam 32;;;;;
320005;BAURES;;;;266035;Té Diam 40;;;;;
320006;BAURES;;;;251542;Coude 45° F/F 40;;;;;
320007;BAURES;;;;926574;Coude cuivre 90° F/F diam 32;;;;;
320008;BAURES;;WINTERHALTER;;E40ML-157.122;RACCORD ABS DIAM 40 MALE;;;;;
320009;BAURES;;WINTERHALTER;;TUBT 15 250012;SECURITE THERMIDOR - Metre;;;;;
320010;BAURES;;WINTERHALTER;;157.781;TUYAU ANNELE BLANC DIAM 40 (Mètre);;;;;
320011;BAURES;;WINTERHALTER;;157.781;TUYAU ANNELE BLANC DIAM 40 (Mètre);;;;;
320012;;;;;320012;Forfait détartrage calcaire;;;;;
320013;;;;;;Coude 90° F/F diam 50;;;;;
320014;;;;;;Coude 67° F/F diam 50;;;;;
320015;;;;;;Bouton M diam 50;;;;;
320016;;;;;;Manchon réducteur diam 50 en 40;;;;;
320017;;;;;;Manchon réducteur diam 50 en 32;;;;;
320018;CEF;;DIVERSES;;;Manchon F/F diam 32;;;;;
320019;FRANKE;;DIVERSES;;725.104.914;Tuyauterie complète;;;;;
320020;FRANKE;;DIVERSES;;725.105.293;Tuyauterie;;;;;
320021;FRANKE;;DIVERSES;;725.115.841;Entonnoir;;;;;
320022;BAURES;;DIVERSES;;1633104;Tube PVC diam 40;;;;;
320023;BAURES;;DIVERSES;;823384;Tube cuivre en barre 30x32 vendu au mètre barre de 5 mètres;;;;;
320024;BAURES;;DIVERSES;;251836;Coude PVC F/F diam 40;;;;;
320025;FRITEC;;;;891563;Flexible à vanne 90cm rouge;;;;;
320026;FRITEC;;;;891564;Flexible à vanne 150 cm bleu;;;;;
320027;FRITEC;;DIVERS FROID;;891562;Flexible à vanne 90 cm jaune;;;;;
320028;FRITEC;;;;758281;T valv vanne à boule schrader tv06c 1/4;;;;;
320029;FRITEC;;;;835121;Leak lock;;;;;
320030;BAURES;;DIVERSES;;1902989;Raccord annelé diam 40;;;;;
320031;BAURES;;DIVERSES;;1377736;Syphon évier diam 40 à visser;;;;;
320032;GENERALE FRIGORIFIQUE FRANCE;;;;;Manchon MF 3/4 - 5/8;;;;;
320033;BAURES;;DIVERSES;;1377477;Vidage baignoire chainette bouchon;;;;;
320034;BAURES;;DIVERSES;;937274;Embout écrou tournant;;;;;
320035;BAURES;;DIVERSES;;328731;"Embout ""B"" 40/50X1""1/2";;;;;
320036;BAURES;;DIVERSES;;2182769;Porte embout 889/4/1 k sb;;;;;
320037;BAURES;;;;1640534;Joint CNK 15X21;;;;;
320038;BAURES;;;;1640542;Joint CNK 20X27;;;;;
320039;BALITRAND;;;;169.872;Tuyau alim coudé 2m50;;;;;
320040;BALITRAND;;;;168.054;Té bronze fileté 20x27;;;;;
320041;BALITRAND;;;;166.007;Mamelon MM égal 20x27;;;;;
320042;BALITRAND;;;;166.058;Mamelon R FM 20x27 15x21;;;;;
320043;BALITRAND;;;;166.055;Mamelon R FM 15x21 12x17;;;;;
320044;BALITRAND;;;;166.075;Bouchon fem. laiton 12x17;;;;;
320045;FRANKE;;;;725.103.769;Tuyauterie;;;;;
320046;DESCOURS ET CABAUD;;;;262601;Filet joint;;;;;
320047;DESCOURS ET CABAUD;;;;2130971;Mamelon FM réduit Mal.Lait 26x20;;;;;
320048;DESCOURS ET CABAUD;;;;4579838;Dégrippant flash;;;;;
320049;BAURES;;;;262560;Manchon à butée diam.40;;;;;
320050;BAURES;;;;1633090;tube PVC  diam 32;;;;;
320051;BAURES;;;;250120;Colliers diam 32;;;;;
320052;BAURES;;;;250155;Colliers fixation 40;;;;;
320053;BAURES;;;;894281;Réduction métal;;;;;
320054;DESCOURS ET CABAUD;;;;4647909;Dégrippant multifonction main 500ML 33134EU;;;;;
320055;GENERALE FRIGORIFIQUE FRANCE;;;;KEXX0030A;Raccord SCHR T80 + Tube1/4;;;;;
320056;BALITRAND;;;;025.111;PVC longueur de 2M;;;;;
320057;BALITRAND;;;;182.032;Coude équerre 87D 40MM;;;;;
320058;BALITRAND;;;;229.021;Collier plastique SS attache C040;;;;;
320059;BALITRAND;;;;185.404;Métal red PVC 40 tub12A30;;;;;
320060;BALITRAND;;;;181.819;Manchon femelle SS lèvre 40MM;;;;;
320061;BALITRAND;;;;182.006;Coude ouvert 45D DF 40MM CH44;;;;;
320062;BALITRAND;;;;182.235;Culotte spéciale 87DF 40MM BH 188;;;;;
320063;BAURES;;;;1396927;Raccord droit 359 gcl;;;;;
320064;DESCOURS ET CABAUD;;;;2342332;Tuyau tricoclair;;;;;
320065;FIC MONTPELLIER;;;;22230;Mamelon FM RED 246BR F 3/4M 1/2;;;;;
320066;BALITRAND;;;;185.513;Réduction extérieur 80x75 IR 1;;;;;
320067;TCA;;;;ANJ1311;RMME DIAM 125 ouvert sous tension;;;;;
320068;TCA;;;;FGR125-3;Cassette +filtre G3 FGR MEDIA;;;;;
320069;TCA;;;;COI125;Collier iso ref 180488 D.125;;;;;
320070;TCA;;;;RM125;Raccord mâle galva D.125;;;;;
320071;FRITEC;;;;855302;Tige filetée M 8 nylon 1 mètre;;;;;
320072;RICHARDSON;;;;431908;Mamelon MM Réduit laiton brut;;;;;
320073;CEF;;;;182.032;Coude équerre 87D DF 40mm CH88;;;;;
320074;BALITRAND;;;;181.096;Coude équerre 87D MF 40mm CH 8;;;;;
320075;BALITRAND;;;;181.818;Manchon femelle ss levre 32mm m2F;;;;;
320076;TCA;;;;COM200N;Collier Nylon 0-229 mm (bte 100);;;;;
320077;STAND DU CAOUTCHOUC;;;;DURI24EC0051;Durite d'eau chaude ( vendu au mètre);;;;;
320078;CEF;;;;1335200;Coude M/F 92;;;;;
320079;CEF;;;;824844;Mamelon réduit FM brut 246;;;;;
320080;FRITEC;;;;758283;T-Valv- vanne à boule shrader TV10C 3/8;;;;;
320081;BAURES;;;;263532;Réduction incorporée 40/32;;;;;
320082;BAURES;;;;1335197;Coude M/F 92;;;;;
330001;FRANKE;;;;366.535;Prise femelle bleue 16A sur canal encastrée IP67 Mennekes 1P+N+T;;;;;
330002;CEF;;;;313-6;Prise femelle 16A IP44 sur socle à encastrer bleue 1P+N+T;;;;;
330003;CEF;;;;SNS216;Prise modulaire pour tableau elec 16A 2P+T;;;;;
330004;CEF;;;;213-6TT;Prise 16A 2P+T sailly;;;;;
330005;FRANKE;;;;1517157;Prise femelle 16A rouge sur canal 1P+1N+T;;;;;
330006;FRANKE;;;;385.117;Prise mâle pentapolaire rouge sur boitier inox 32A 3P+N+T;;;;;
330007;CEF;;;;63004;Prise blanche 16A 2P+T femelle 230V;;;;;
330008;CEF;;;;69731;Prise étanche plexo saillie;;;;;
330009;FRANKE;;;;384.046;Prise femelle 16A encastrée sur canal bleue à clapet 1P+N+T;;;;;
330010;FRANKE;;;;1518225;Prise P17 femelle 1P+N+T IP44 bleue;;;;;
330012;FRANKE;;FRANKE;;385.749;Prise murale 5 P 32 A;;;;;
330013;FRANKE;;;;385.644;Prise P17 pintapolaire 32A 3P+N+T mâle;;;;;
330014;FRANKE;;;;385.748;Prise sur socle 4P+T;;;;;
330015;ENODIS;;;;8101202;Contacteur DILM 32 A 24v 3210 ou KM 24V;;;;;
330017;CEF;;;;222413;Borne de connexion 3x0.08-4mm² fils;;;;;
330018;FRANKE;;MENNEKES/LEGRAN;;385.418;Câble 3G 1,5 mm H07 (noir chez CEF - orange chez FRANKE);;;;;
330019;REXEL / COAXEL;;MENNEKES/LEGRAN;;0010FILH07RNF3G2.5B10;Câble 3G 2.5 mm2 HO7RNF;;;;;
330020;CEF;;;;21471;Prise mâle 2P+T 16A PLEXO NOIRE;;;;;
330021;CEF;;?;;21474;PC 16A 2P+T NOIR FEMELLE PLEXO;;;;;
330022;CEF;;FRYMASTER;;277247;CONTACTEUR DILMC32 -10;;;;;
330023;CEF;;MENEKES/LEGRAND;;213-6;P17 2P+T 16 A FEMELLE BLEUE;;;;;
330024;FRANKE;;FRANKE;;365.912;PRISE FEMELLE  SEPTAPOLAIRE;;;;;
330026;;;?;;151.82.20;PC P17 3P+N+T 32A MALE;;;;;
330027;FRITEC;;;;526051;MOTOVENTILATEUR 5 WATTS;;;;;
330028;FRITEC;;;;526055;MOTOVENTILATEUR 10 WATTS;;;;;
330029;FRITEC;;ELCO;;526057;Moteur ventilateur 230V 16W cable 0.5m fixation 18/26 boite ind.;;;;;
330030;FRITEC;;;;620083;Buse détendeur N° 1 - DANFOSS-T2 Orifice 01 F/B;;;;;
330031;FRITEC;;;;620085;Buse détendeur N° 2 - DANFOSS (réf 0682092) T2 orifice 2 F/B à braser;;;;;
330032;FRITEC;;;;620087;Buse détendeur N° 3 - DANFOSS-T2 Orifice 3 F/B;;;;;
330033;FRITEC;;;;620089;Buse détendeur N° 4 - DANFOSS-T2 Orifice 4 F/B;;;;;
330034;FRITEC;;;;620091;Buse détendeur N° 5 - DANFOSS-T2 Orifice 5 F/B;;;;;
330035;FRITEC;;;;620093;BUSE DETENDEUR N° 6;;;;;
330036;FRITEC;;;;620183;Buse détendeur N° 1 - (DANFOSS réf 0682010)-T2 Orifice N°01 à souder;;;;;
330037;FRITEC;;;;620189;Buse détendeur N° 4 - (DANFOSS réf 0682007) -T2 Orifice N°04 à souder;;;;;
