;Référence;Réf. Fournisseur;Fournisseur;Marque;Désignation;Quantités
27;02AB0085;20050869-27;REFLEX SERVICE;TAYLOR;Relais 4 pôles 40A-240V bobine - contacteur;4
28;02AB0098;20072458;REFLEX SERVICE;TAYLOR;Cablette;4
29;07AK0001;719.385.360;FRANKE;;Fusible 20A HLZ;4
30;15AU0011;719.389.836;FRANKE;ANSUL;Barrette Rouge ANSUL;4
31;17AV0036;719.386.441;FRANKE;;Pied Caoutchouc Par 4;4
32;01AB0098;20037954-27;REFLEX SERVICE;TAYLOR;Electrovanne glycol;3
33;02AB0059;20X79603-L;REFLEX SERVICE;TAYLOR;Faisceau rabat gauche grill 34;3
34;10AI0013;BLO.334.70;FRANKE;FRANKE;relais 25A;3
35;14AK0090;8101202;ENODIS;;Contacteur 40 A 3 poles;3
36;17AV0122;719.392.785;FRANKE;;Câble bas de toaster REMPLACE LA  REF PC2.480.80S;3
37;01AB0009;20X47323;REFLEX SERVICE;TAYLOR;Filtre glycol;2
38;01AB0015;20077841-K;REFLEX SERVICE;TAYLOR;Thermocouple K type SS braid (sonde rabat);2
39;01AB0277;20045293;REFLEX SERVICE;TAYLOR;Fusible 15 A;2
40;02AB0034;20X83114-3;REFLEX SERVICE;TAYLOR;Kit certification grill 844;2
41;02AB0058;20X79603-R;REFLEX SERVICE;TAYLOR;Faisceau rabat droit grill 34;2
42;02AB0075;20X78330-SER;REFLEX;;Kit shield ( 2 par rabat );2
43;02AB0086;20052111-76;REFLEX SERVICE;TAYLOR;Relais maintien rabat;2
44;02AB0088;20079826-02;;TAYLOR;Relais triac;2
45;02AB0097;20063944-C;REFLEX SERVICE;TAYLOR;Pressostat d'air;2
46;02AB0115;20078721;REFLEX SERVICE;TAYLOR;Klixon de sécurité ou hight limit;2
47;02AB0188;20076013;;TAYLOR;BLOC CONTACT;2
48;02AB0263;20X83114-2;REFLEX SERVICE;TAYLOR;Kit certification grill 834;2
49;04AG0062;30000234;WINTERHALTER;;Résistance chauffante 6kw avec fusible ANC REF 3103150 (Nle  30008044;2
50;05AI0024;19003762;FRANKE;FRANKE;Alimentation F3DN ou transformateur 24v;2
51;05AI0036;190.002.12;FRANKE;;Boulon 1/4 x 1 1/2;2
52;05AI0038;19000214;FRANKE;;Spacer 1/2;2
53;09AI0002;725.120.457;FRANKE;;Douille Poste Salage  (en porcelaine) anc ref 725.113.458 AAA;2
54;10AI0002;384.268;FRANKE;;Ventilateur bin;2
55;14AK0034;8261526;ENODIS;;Sonde de régulation (anc ref 8072478) sur résistance NM;2
56;14AK0035;8064206;ENODIS;;Sonde de température;2
57;14AK0055;8262200;ENODIS;;Résistance 8500W Re;2
58;14AK0064;8262256;ENODIS;;Carte Interface avec relais soudés (noire) NM remplace ref 1066688;2
59;14AT0003;HP29509;FRANKE;HENNY PENNY;Contacteur E/M LVE (principal);2
60;14AT0015;HP77523;FRANKE;;Tube évacuation alu pour cuve ou flexible inox REMPLACE PAR REF 780.005.028;2
61;14AT0024;HP84415;FRANKE;HENNY PENNY;Joint O ring pour série LVE 20;2
62;14AT0044;HP77288;FRANKE;;Tuyau + Raccord femelle rapide JIB;2
63;15AU0029;384.376;FRANKE;ANSUL;Cartouche nitrogène;2
64;17AV0035;719.386.038;FRANKE;;Relais SS;2
65;01AB0010;20X39667-4;REFLEX SERVICE;TAYLOR;Bidon de glycol au litres ( 3.78);1,25
66;340008;845503;FRITEC;;Fréon R404A;1,19
67;330016;277731;CEF;;Contacteur 230V Dilmc 32 - 01;1
68;330025;385.412;FRANKE;;Prise femelle septapolaire P17 32A 5P+N+T rouge;1
69;330056;719.388.025;FRANKE;TAYLOR;Prise 7 pôles mâles sur grill 5P+N+T rouge IP 44;1
70;340025;893117;FRITEC;DIVERS FROID;Vanne Shrader 1/4 à visser intervention rapide;1
71;340094;622402;FRITEC;DANFOSS;Régulateur ERC211 anc désignation Régulateur EKC 102A ancienne ref 622401;1
72;01AB0007;20063922-SER;REFLEX SERVICE;TAYLOR;Carte imprimé sundae ou viscosité anc ref 20X46904-SER;1
73;01AB0013;20X55820;REFLEX SERVICE;;"Piston de soutirage ""soft"" - Piston de porte Sundae";1
74;01AB0020;20066794-33H;REFLEX SERVICE;TAYLOR;Discontacteur (contact+reset) pour sundae  ou reset;1
75;01AB0024;20012864;REFLEX SERVICE;TAYLOR;Bague de blocage REMPLACE dans kit  REF 01AB0394;1
76;01AB0031;20079473;REFLEX;;Ressort  ( clam);1
77;01AB0035;20X54722-GLD;REFLEX SERVICE;TAYLOR;Accouplement shake;1
78;01AB0036;20X44951;REFLEX SERVICE;TAYLOR;Sensor de viscosité;1
79;01AB0102;20066794-33G;REFLEX SERVICE;TAYLOR;Bloc reset shake;1
80;01AB0108;20X51661;REFLEX SERVICE;TAYLOR;Plot agitateur sundae;1
81;01AB0110;20036210;REFLEX SERVICE;TAYLOR;Poulie sur plot agitateur;1
82;01AB0111;20042063;REFLEX;;Poulie agitateur moteur;1
83;01AB0134;20012721;REFLEX SERVICE;TAYLOR;Accouplement soft;1
84;01AB0140;20016403;REFLEX SERVICE;TAYLOR;Petite poulie moteur batteur sundae;1
85;01AB0144;20048901;REFLEX SERVICE;TAYLOR;Déshydrateur;1
86;01AB0150;20039470-BLK;;;Sonde probe glycol C602;1
87;01AB0169;20056530;REFLEX SERVICE;TAYLOR;Platine de contrôle vitesse moteur sirop;1
88;01AB0335;20063920-SER;REFLEX SERVICE;TAYLOR;Carte interface vierge;1
89;01AB0349;20045717;REFLEX;TAYLOR;Poulie petite pour agitateur;1
90;01AB0362;20X51564;REFLEX SERVICE;TAYLOR;Plot agitateur courte shake;1
91;01AB0367;20X82397-SER;REFLEX SERVICE;TAYLOR;"Sonde cylindre longue anc ref 20038061-BLK
";1
92;01AB0370;20063924-SER;REFLEX SERVICE;TAYLOR;Carte sensor;1
93;01AB0387;20063923-SER;REFLEX SERVICE;TAYLOR;"Connecteur-Platine viscosité shake anc ref 20X59072-SER
";1
94;01AB0394;20X31324-SER;REFLEX SERVICE;TAYLOR;"Kit palliers complet comprenant: 1 pallier;1 rondelle blocage pallier;1 guide goutte plastique, 1 écrou laiton";1
95;01AB0402;20X56253;REFLEX SERVICE;TAYLOR;Bras de levier;1
96;01AB0403;20041661;REFLEX SERVICE;TAYLOR;Ressort de retenue droit;1
97;01AB0404;20041660;REFLEX SERVICE;TAYLOR;Ressort de retenue gauche;1
98;02AB0001;20076011;REFLEX SERVICE;TAYLOR;Bouton Raise;1
99;02AB0031;20X79775-SER;REFLEX SERVICE;TAYLOR;Carte de puissance 34 avec Eprom  ;1
100;02AB0032;20074210-02;REFLEX SERVICE;TAYLOR;Relais Triac 240V (Sans alar);1
101;02AB0033;20073998;REFLEX SERVICE;TAYLOR;Moteur rabat grill 844 et grill 834 et grill C 842;1
102;02AB0040;20X74232-SER;REFLEX SERVICE;TAYLOR;Bloc adujst gauche - avant / droit arrière;1
103;02AB0041;20X74233-SER;REFLEX SERVICE;TAYLOR;Bloc adjust droit - avant / gauche - arrière;1
104;02AB0043;20X79250-SER;REFLEX SERVICE;TAYLOR;Carte relais sonde grill 34;1
105;02AB0053;20076989-WP;REFLEX SERVICE;TAYLOR;Interrupteur grill ON/OFF;1
106;02AB0060;20X74514-7;REFLEX SERVICE;TAYLOR;Kit certif grill 3475;1
107;02AB0064;20X72436-SER;REFLEX SERVICE;TAYLOR;Carte électronique interface C834 ET 844;1
108;02AB0067;20075503-02;REFLEX SERVICE;TAYLOR;Electrovanne grill 34;1
109;02AB0068;20079818BSER;REFLEX SERVICE;TAYLOR;Moteur rabat / réducteur grill 34;1
110;02AB0084;20077339;REFLEX SERVICE;TAYLOR;"Connection en laiton ""T""";1
111;02AB0094;20029830;REFLEX SERVICE;TAYLOR;Régulateur air;1
112;02AB0101;200726951;;TAYLOR;Electrovanne air;1
113;02AB0106;20075723;REFLEX SERVICE;TAYLOR;Soupape de sécurité ou valve de 70psi;1
114;02AB0110;20076012;REFLEX SERVICE;TAYLOR;Bouton standby;1
115;02AB0116;20079442;REFLEX SERVICE;TAYLOR;Home switch moteur rabat;1
116;02AB0123;20079837040;;TAYLOR;FUSIBLE 4 A;1
117;02AB0132;20X72701-SER;REFLEX SERVICE;TAYLOR;Carte relais moteur C844;1
118;02AB0152;20074396;REFLEX SERVICE;TAYLOR;Ressort de grill;1
119;02AB0184;20079160;REFLEX SERVICE;TAYLOR;Vérin;1
120;02AB0213;20079777;REFLEX SERVICE;TAYLOR;Fourche verin;1
121;02AB0232;20072454;REFLEX SERVICE;TAYLOR;Moteur rabat grill C844 remplace par REF 20073998;1
122;02AB0401;20079774-641;REFLEX SERVICE;TAYLOR;Eprom V6.41 avec support;1
123;02AB0430;20072695-4;REFLEX SERVICE;TAYLOR;Valve pressure relief 70 PSI;1
124;04AG0050;3106180;WINTERHALTER;WINTERHALTER;Electrovanne arrivée d eau  surchauffeur sous pression 15 litres/ min;1
125;04AG0081;30000235;WINTERHALTER;;Résistance chauffante 6 kw de bac avec fusible (anc ref 3103176- et 30008051;1
126;04AH0065;E417120;ECOMAX;HOBART;Ecrou en plastique;1
127;04AH0103;E926282;ECOMAX;;Contacteur;1
128;05AI0025;19004441;FRANKE;FRANKE;Moto réducteur F3DN Remplace réf 190.015.25;1
129;05AI0045;19004324;FRANKE;FRANKE;Touche F3D3;1
130;05AI0070;180.032.85;FRANKE;FRANKE;ACCOUPLEMENT;1
131;07AK0008;8070979;ENODIS;;Transformateur Frymaster HLZ;1
132;08AK0013;8072443;ENODIS;;Carte Mère UHC;1
133;08AK0025;8075508;ENODIS;;Carte de distribution UHC ANCIENNE REF/ 8074860;1
134;08AK0029;8074882;ENODIS;;Disjoncteur 16A ou Clickson pour UHCHD6TP;1
135;08AK0032;8072460;ENODIS;;Transformateur UHC;1
136;08AK0038;8075382;ENODIS;FRYMASTER;Platine relais UHCHD ( remplace ref 8263036);1
137;09AL0003;806226;H&K;H&K;Douille porcelaine;1
138;13BO;725.118.114;FRANKE;FRANKE;Thermostat Evco;1
139;13BO0002;725.114.966;FRANKE;FRANKE;Thermostat EVCO EVKB21 230 V;1
140;14AK0011;8262260;ENODIS;;Carte interface  NM pour friteuse RE;1
141;14AK0013;719.386.676;FRANKE;;Micro inter friteuse;1
142;14AK0026;719.388.495;FRANKE;;Transformateur Hlz 230 Volts 12V;1
143;14AK0032;8072180;ENODIS;;Transformateur 230/24V;1
144;14AK0069;8262153;ENODIS;FRYMASTER;Résistance 8500W AM Remplace ref 8072643;1
145;14AK0080;8261183;ENODIS;;Kit de levée ou support ressort résistance;1
146;14AK0115;8101423;ENODIS;;Flexible huile;1
147;14AK0150;8262741;ENODIS;FRYMASTER;Contact mercure/Micro Interrupteur Pour Résistance;1
148;14AT0004;HP140061;FRANKE;HENNY PENNY;Transformateur LVE 24 v;1
149;14AT0025;HP86105;FRANKE;HENNY PENNY;Soupape valve;1
150;14AT0070;719.392.746;FRANKE;HENNY PENNY;Thermostat H Limit LVE ANCIENNE REF HP77285 NEU;1
151;14AT0082;719.394.277;FRANKE;HENNY PENNY;Kit thermocouple 96887-LVE-20X ( pour cuve lov);1
152;14AT0083;HP14974;FRANKE;;Sonde, kit de capteur du niveau remplissage P/ LVE ET LVG;1
153;14AT0102;719.395.959;FRANKE;HENNY PENNY;Microswitch pour vanne sélective cuve HENNY PENNY ANCIENNE REF// 719.393.948;1
154;15AU0026;719.388.835;FRANKE;ANSUL;Ansulex;1
155;15AU0031;719.383.520;FRANKE;ANSUL;Porte fusibles;1
156;17AV0011;719.386.037;FRANKE;;Relais 12Vdc  noir;1
157;17AV0020;719.386.347;FRANKE;;Boulon Pour Plaque Devant Set 2 ou vis;1
158;17AV0024;719.386.499;FRANKE;ANTUNES;Boulon Chassis + Écrou pour toaster;1
159;17AV0033;719.392.786;FRANKE;;Câble En Haut ou faisceau anc PC2.480.81S;1
160;17AV0040;719.384.504;FRANKE;;Kit De Butoir OU bloc d'arrêt;1
161;17AV0044;719.386.352;FRANKE;;Ecrou Pack De 7;1
162;17AV0138;719.384.546;FRANKE;;Haut parleur  Toaster ou buzzer;1
163;17AV0149;PC2.481.52;FRANKE;PRINCE CASTLE;Bille inox;1
164;17AW0028;AN3.08P.115;FRANKE;;Vis 8 // 32x3/8  10 mm (pq de 10);1
165;16AV0046;719.394.798;FRANKE;;Tuyau (lot de 10) set de tubes d'eau STEAMER pc 625;0,7
166;.;NULL;;;Location divers matériels;
167;6;;REFLEX;;Relais Triac 240V (Sans alar);
168;170032;170032;FRANKE;;Filtre Alimentation;
169;170042;170042;FRANKE;;Boulon Pour Plaque Devant Set 2;
170;170088;385.416;FRANKE;;Câble 3x2.5 HO7RNF;
171;170115;248202S;FRANKE;PRINCE CASTLE;Bouton REMPLACE REF 719.384.514;
172;200000;200000;;;Fourniture gainable;
173;200001;ANJ1209-12D;TCA;;Moteur de bouche anjos 12V ouverture sous tension;
174;200002;;TCA;;Moteur de bouche Anjos 220V N.F;
175;200003;14301;IACA;;Satellite cedeco;
176;200004;14303;IACA;;Clavier;
177;200005;1215-24V;TCA;ANJOS;MOTEUR THERMIQUE;
178;200006;CM33580112;SCODIF;SCOTSMAN;CARTE MERE;
179;200007;PFMATE000;IACA;;SOUDE EXTERIEURE;
180;200008;200008;BAURES;;Liaison frigorifique 1/4 3/8 20m isolé M1 prix au mètre;
181;200009;200009;;;Eco participation;
182;200010;ANJ1215;TCA;;Moteur fermé sous tension;
183;200011;ANJ1209;TCA;ANJOS;Vérin thermique + fil /registre mot;
184;200012;ANJ1225;TCA;ANJOS;Registre motorisé ouvert L200 D200;
185;200013;451057;FRITEC;DAIKIN;Ensemble mural FTXB20C + RXB20C DAIKIN;
186;200014;451061;FRITEC;DAIKIN;Ensemble mural FTXB25C + RXB25C DAIKIN;
187;200015;457371;BAURES;ATLANTIC;Ensemble mural ASYG7LLCC ATLANTIC FUJITSU;
188;200016;457374;BAURES;ATLANTIC;Ensemble mural ASYG9LLCC ATLANTIC FUJITSU;
189;200017;200017;;;Fourniture clim;
190;200018;PFMATEST014303;IACA;CEDECO;Terminal clavier ( menu);
191;200019;02101-003971;CD SUD;;/MAC-3971F-E INTERFACE BORNIER CONTACT SERIE M;
192;200020;021011-000032;CD SUD;;PAR-32MAA-J COMMANDE A FIL SERIE M ET P;
193;200021;200021;IACA;CEDECO;THERMOSTAT AMBIANCE CEDECO;
194;210002;628283;FRITEC;CARREL;Régulateur CAREL Mastercella 2 de chambre froide;
195;310191;625011;FRITEC;DANFOSS;Pressostat Danfoss KP 15;
196;320001;182.032;BALITRAND;;Coude équerre 87D DF 40mm CH88;
197;320002;E40ML;BAURES;;"Raccord ABS diam 40 
";
198;320003;1467298;BAURES;;Tuyau annelé blanc DIAM 40 3 mètres - flexible GTL 32X40 prix au mètre;
199;320004;;BAURES;;Té diam 32;
200;320005;266035;BAURES;;Té Diam 40;
201;320006;251542;BAURES;;Coude 45° F/F 40;
202;320007;926574;BAURES;;Coude cuivre 90° F/F diam 32;
203;320008;E40ML-157.122;BAURES;WINTERHALTER;RACCORD ABS DIAM 40 MALE;
204;320009;TUBT 15 250012;BAURES;WINTERHALTER;SECURITE THERMIDOR - Metre;
205;320010;157.781;BAURES;WINTERHALTER;TUYAU ANNELE BLANC DIAM 40 (Mètre);
206;320011;157.781;BAURES;WINTERHALTER;TUYAU ANNELE BLANC DIAM 40 (Mètre);
207;320012;320012;;;Forfait détartrage calcaire;
208;320013;;;;Coude 90° F/F diam 50;
209;320014;;;;Coude 67° F/F diam 50;
210;320015;;;;Bouton M diam 50;
211;320016;;;;Manchon réducteur diam 50 en 40;
212;320017;;;;Manchon réducteur diam 50 en 32;
213;320018;;CEF;DIVERSES;Manchon F/F diam 32;
214;320019;725.104.914;FRANKE;DIVERSES;Tuyauterie complète;
215;320020;725.105.293;FRANKE;DIVERSES;Tuyauterie;
216;320021;725.115.841;FRANKE;DIVERSES;Entonnoir;
217;320022;1633104;BAURES;DIVERSES;Tube PVC diam 40;
218;320023;823384;BAURES;DIVERSES;Tube cuivre en barre 30x32 vendu au mètre barre de 5 mètres;
219;320024;251836;BAURES;DIVERSES;Coude PVC F/F diam 40;
220;320025;891563;FRITEC;;Flexible à vanne 90cm rouge;
221;320026;891564;FRITEC;;Flexible à vanne 150 cm bleu;
222;320027;891562;FRITEC;DIVERS FROID;Flexible à vanne 90 cm jaune;
223;320028;758281;FRITEC;;T valv vanne à boule schrader tv06c 1/4;
224;320029;835121;FRITEC;;Leak lock;
225;320030;1902989;BAURES;DIVERSES;Raccord annelé diam 40;
226;320031;1377736;BAURES;DIVERSES;Syphon évier diam 40 à visser;
227;320032;;GENERALE FRIGORIFIQUE FRANCE;;Manchon MF 3/4 - 5/8;
228;320033;1377477;BAURES;DIVERSES;Vidage baignoire chainette bouchon;
229;320034;937274;BAURES;DIVERSES;Embout écrou tournant;
230;320035;328731;BAURES;DIVERSES;"Embout ""B"" 40/50X1""1/2";
231;320036;2182769;BAURES;DIVERSES;Porte embout 889/4/1 k sb;
232;320037;1640534;BAURES;;Joint CNK 15X21;
233;320038;1640542;BAURES;;Joint CNK 20X27;
234;320039;169.872;BALITRAND;;Tuyau alim coudé 2m50;
235;320040;168.054;BALITRAND;;Té bronze fileté 20x27;
236;320041;166.007;BALITRAND;;Mamelon MM égal 20x27;
237;320042;166.058;BALITRAND;;Mamelon R FM 20x27 15x21;
238;320043;166.055;BALITRAND;;Mamelon R FM 15x21 12x17;
239;320044;166.075;BALITRAND;;Bouchon fem. laiton 12x17;
240;320045;725.103.769;FRANKE;;Tuyauterie;
241;320046;262601;DESCOURS ET CABAUD;;Filet joint;
242;320047;2130971;DESCOURS ET CABAUD;;Mamelon FM réduit Mal.Lait 26x20;
243;320048;4579838;DESCOURS ET CABAUD;;Dégrippant flash;
244;320049;262560;BAURES;;Manchon à butée diam.40;
245;320050;1633090;BAURES;;tube PVC  diam 32;
246;320051;250120;BAURES;;Colliers diam 32;
247;320052;250155;BAURES;;Colliers fixation 40;
248;320053;894281;BAURES;;Réduction métal;
249;320054;4647909;DESCOURS ET CABAUD;;Dégrippant multifonction main 500ML 33134EU;
250;320055;KEXX0030A;GENERALE FRIGORIFIQUE FRANCE;;Raccord SCHR T80 + Tube1/4;
251;320056;025.111;BALITRAND;;PVC longueur de 2M;
252;320057;182.032;BALITRAND;;Coude équerre 87D 40MM;
253;320058;229.021;BALITRAND;;Collier plastique SS attache C040;
254;320059;185.404;BALITRAND;;Métal red PVC 40 tub12A30;
255;320060;181.819;BALITRAND;;Manchon femelle SS lèvre 40MM;
256;320061;182.006;BALITRAND;;Coude ouvert 45D DF 40MM CH44;
257;320062;182.235;BALITRAND;;Culotte spéciale 87DF 40MM BH 188;
258;320063;1396927;BAURES;;Raccord droit 359 gcl;
259;320064;2342332;DESCOURS ET CABAUD;;Tuyau tricoclair;
260;320065;022230;FIC MONTPELLIER;;Mamelon FM RED 246BR F 3/4M 1/2;
261;320066;185.513;BALITRAND;;Réduction extérieur 80x75 IR 1;
262;320067;ANJ1311;TCA;;RMME DIAM 125 ouvert sous tension;
263;320068;FGR125-3;TCA;;Cassette +filtre G3 FGR MEDIA;
264;320069;COI125;TCA;;Collier iso ref 180488 D.125;
265;320070;RM125;TCA;;Raccord mâle galva D.125;
266;320071;855302;FRITEC;;Tige filetée M 8 nylon 1 mètre;
267;320072;431908;RICHARDSON;;Mamelon MM Réduit laiton brut;
268;320073;182.032;CEF;;Coude équerre 87D DF 40mm CH88;
269;320074;181.096;BALITRAND;;Coude équerre 87D MF 40mm CH 8;
270;320075;181.818;BALITRAND;;Manchon femelle ss levre 32mm m2F;
271;320076;COM200N;TCA;;Collier Nylon 0-229 mm (bte 100);
272;320077;DURI24EC0051;STAND DU CAOUTCHOUC;;Durite d'eau chaude ( vendu au mètre);
273;320078;1335200;CEF;;Coude M/F 92;
274;320079;824844;CEF;;Mamelon réduit FM brut 246;
275;320080;758283;FRITEC;;T-Valv- vanne à boule shrader TV10C 3/8;
276;320081;263532;BAURES;;Réduction incorporée 40/32;
277;320082;1335197;BAURES;;Coude M/F 92;
278;330001;366.535;FRANKE;;Prise femelle bleue 16A sur canal encastrée IP67 Mennekes 1P+N+T;
279;330002;313-6;CEF;;Prise femelle 16A IP44 sur socle à encastrer bleue 1P+N+T;
280;330003;SNS216;CEF;;Prise modulaire pour tableau elec 16A 2P+T;
281;330004;213-6TT;CEF;;Prise 16A 2P+T sailly;
282;330005;1517157;FRANKE;;Prise femelle 16A rouge sur canal 1P+1N+T;
283;330006;385.117;FRANKE;;Prise mâle pentapolaire rouge sur boitier inox 32A 3P+N+T;
284;330007;63004;CEF;;Prise blanche 16A 2P+T femelle 230V;
285;330008;69731;CEF;;Prise étanche plexo saillie;
286;330009;384.046;FRANKE;;Prise femelle 16A encastrée sur canal bleue à clapet 1P+N+T;
287;330010;1518225;FRANKE;;Prise P17 femelle 1P+N+T IP44 bleue;
288;330012;385.749;FRANKE;FRANKE;Prise murale 5 P 32 A;
289;330013;385.644;FRANKE;;Prise P17 pintapolaire 32A 3P+N+T mâle;
290;330014;385.748;FRANKE;;Prise sur socle 4P+T;
291;330015;8101202;ENODIS;;Contacteur DILM 32 A 24v 3210 ou KM 24V;
292;330017;222413;CEF;;Borne de connexion 3x0.08-4mm² fils;
293;330018;385.418;FRANKE;MENNEKES/LEGRAN;Câble 3G 1,5 mm H07 (noir chez CEF - orange chez FRANKE);
294;330019;0010FILH07RNF3G2.5B10;REXEL / COAXEL;MENNEKES/LEGRAN;Câble 3G 2.5 mm2 HO7RNF;
295;330020;021471;CEF;;Prise mâle 2P+T 16A PLEXO NOIRE;
296;330021;021474;CEF;?;PC 16A 2P+T NOIR FEMELLE PLEXO;
297;330022;277247;CEF;FRYMASTER;CONTACTEUR DILMC32 -10;
298;330023;213-6;CEF;MENEKES/LEGRAND;P17 2P+T 16 A FEMELLE BLEUE;
299;330024;365.912;FRANKE;FRANKE;PRISE FEMELLE  SEPTAPOLAIRE;
300;330026;151.82.20;;?;PC P17 3P+N+T 32A MALE;
301;330027;526051;FRITEC;;MOTOVENTILATEUR 5 WATTS;
302;330028;526055;FRITEC;;MOTOVENTILATEUR 10 WATTS;
303;330029;526057;FRITEC;ELCO;Moteur ventilateur 230V 16W cable 0.5m fixation 18/26 boite ind.;
304;330030;620083;FRITEC;;Buse détendeur N° 1 - DANFOSS-T2 Orifice 01 F/B;
305;330031;620085;FRITEC;;Buse détendeur N° 2 - DANFOSS (réf 0682092) T2 orifice 2 F/B à braser;
306;330032;620087;FRITEC;;Buse détendeur N° 3 - DANFOSS-T2 Orifice 3 F/B;
307;330033;620089;FRITEC;;Buse détendeur N° 4 - DANFOSS-T2 Orifice 4 F/B;
308;330034;620091;FRITEC;;Buse détendeur N° 5 - DANFOSS-T2 Orifice 5 F/B;
309;330035;620093;FRITEC;;BUSE DETENDEUR N° 6;
310;330036;620183;FRITEC;;Buse détendeur N° 1 - (DANFOSS réf 0682010)-T2 Orifice N°01 à souder;
311;330037;620189;FRITEC;;Buse détendeur N° 4 - (DANFOSS réf 0682007) -T2 Orifice N°04 à souder;
312;330038;620191;FRITEC;;BUSE DETENDEUR N° 5;
313;330039;620193;FRITEC;;BUSE DETENDEUR N° 6;
314;330040;622255;FRITEC;;SONDES EKS 111P;
315;330041;772401;FRITEC;;"Filtre déshydrateur 1/4 à visser FLAR CARLY-Déshydrateur DCY 032 1/4""";
316;330042;772459;FRITEC;;"Filtre déshydrateur 3/8 à souder SAE - CARLY-Déshydrateur BRASER DCY 083S 3/8""";
317;330043;848801;FRITEC;DAIKIN, MITSUBI;BOMBE SANICOOL;
318;330044;855871;FRITEC;;Kit scellement chimique;
319;330045;866160;FRITEC;;SHRADER VALVE 1/4 A SOUDER;
320;330046;866213;FRITEC;;VANNE DE SERVICE 1/4 (vanne vasco);
321;330047;893112;FRITEC;;VANNE DE SERVICE 1/4 -5/16- 3/8;
322;330048;893483;FRITEC;;BOMBE PRESTOBULLES;
323;330049;719.385.071;FRANKE;PRINCE CASTLE;Prise femelle Timer prince castel;
324;330050;0765;CEF;MENNEKES/LEGRAN;CABLE 3G 1,5 mm²;
325;330052;021474;CEF;?;PC 16A 2P+T NOIR FEMELLE PLEXO;
326;330053;021471;CEF;?;PC 16A 2P+T NOIR MALE PLEXO;
327;330054;60004;CEF;?;Fiche 2P+T 16A 230V mob.prot;
328;330055;385.522;FRANKE;TAYLOR;CABLE ORANGE 5 CONDUCTEUR;
329;330057;385.412;FRANKE;TAYLOR;PRISE 7 POLES FEMELLE;
330;330058;385.962;FRANKE;MENNEKES;PRISE ROUGE 16A  5 POLE;
331;330059;1526184;FRANKE;;Prise 400V/32A/5P/6H, prise de montage, CEE (3L+N+PE) IP44;
332;330060;50003;;;Boite plexo 80x80x40;
333;330061;;;;Prise pintapolaire rouge 16A;
334;330062;;;;Fiche mâle 220v;
335;330063;385.734;FRANKE;FRANKE;Prise mâle rouge pentapolaire 380V 16A 3P+N+T IP44;
336;330064;TMD07-X;ACEI;ACEI;Timer blinder;
337;330065;;CEF;DIVERSES;Domino porcelaine;
338;330066;050445;BAURES;;Fiche caout. 2P+T 10/16A;
339;330067;025-6;CEF;;Fiche IP 44 5x32a 400V;
340;330068;330068;CEF;;Câble 5x1.5U1000;
341;330069;0400C50;CEF;;Câble 3x1.5 u1000;
